1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
742,"L'art. 50 del d.lgs. del 31 dicembre 1992 n.
546.",Individua i mezzi di impugnazione.,"Individua le modalità di definizione e
pagamento delle somme dovute.","Individua i termini applicabili alla conciliazione
in udienza.","Individua i termini applicabili alla conciliazione
fuori udienza."
743,"Ai sensi dell'art. 5 del decreto del Ministero
dell'Economia e delle Finanze del 4 agosto
2015, Il S.I.Gi.T.:","Garantisce l'avvenuta ricezione degli atti e dei
documenti informatici, attraverso l'invio di una
ricevuta all'indirizzo PEC del soggetto
abilitato, ed invia all'indirizzo PEC del
soggetto abilitato una ricevuta di attestazione
di iscrizione a ruolo, recante il numero di
registro generale.","Non garantisce l'avvenuta ricezione degli atti e
dei documenti informatici ma invia all'indirizzo
PEC del soggetto abilitato una ricevuta di
attestazione di iscrizione a ruolo, recante il
numero di registro generale.","Garantisce l'avvenuta ricezione degli atti e dei
documenti informatici, attraverso l'invio di una
ricevuta all'indirizzo PEC del soggetto abilitato,
ed invia all'indirizzo PEC del soggetto abilitato
una ricevuta di attestazione di iscrizione a
ruolo. Il numero di registro generale è
comunicato successivamente, non dal S.I.Gi.T.,
dalla segreteria della Corte di giustizia
tributaria.","Non invia all'indirizzo PEC del soggetto
abilitato la ricevuta di attestazione di iscrizione
a ruolo ma si limita ad attestare l'avvenuta
ricezione degli atti e dei documenti informatici."
744,"Ai sensi dell'art. 69 del d.lgs. del 31
dicembre 1992 n. 546 :","Con decreto del Ministro dell'economia e delle
finanze emesso ai sensi dell'articolo 17,
comma 3, della legge 23 agosto 1988, n. 400,
sono disciplinati il contenuto della garanzia
sulla base di quanto previsto dall'articolo 38-bis, comma 5, del decreto del Presidente della
Repubblica 26 ottobre 1972, n. 633, la sua
durata nonché il termine entro il quale può
essere escussa, a seguito dell'inerzia del
contribuente in ordine alla restituzione delle
somme garantite protrattasi per un periodo di
tre mesi.","Con decreto del Ministro dell'economia e delle
finanze emesso ai sensi dell'articolo 17, comma
3, della legge 23 agosto 1988, n. 400, sono
disciplinati il contenuto della garanzia sulla
base di quanto previsto dall'articolo 38-bis,
comma 5, del decreto del Presidente della
Repubblica 26 ottobre 1972, n. 633, la sua
durata nonché il termine entro il quale può
essere escussa, a seguito dell'inerzia del
contribuente in ordine alla restituzione delle
somme garantite protrattasi per un periodo di
sei mesi.","Con decreto del Ministro dell'economia e delle
finanze emesso ai sensi dell'articolo 17, comma
3, della legge 23 agosto 1988, n. 400, sono
disciplinati il contenuto della garanzia sulla
base di quanto previsto dall'articolo 38-quater,
comma 5, del decreto del Presidente della
Repubblica 26 ottobre 1972, n. 633, la sua
durata nonché il termine entro il quale può
essere escussa, a seguito dell'inerzia del
contribuente in ordine alla restituzione delle
somme garantite protrattasi per un periodo di
nove mesi.","Con decreto del Ministro dell'economia e delle
finanze emesso ai sensi dell'articolo 17, comma
3, della legge 23 agosto 1988, n. 400, sono
disciplinati il contenuto della garanzia sulla
base di quanto previsto dall'articolo 38-ter,
comma 5, del decreto del Presidente della
Repubblica 26 ottobre 1972, n. 633, la sua
durata nonché il termine entro il quale può
essere escussa, a seguito dell'inerzia del
contribuente in ordine alla restituzione delle
somme garantite protrattasi per un periodo di
sei mesi."
745,"Ai sensi dell'art. 29 del d.lgs. del 31
dicembre 1992 n. 546:","Se i processi pendono dinanzi a sezioni diverse
della stessa Corte di giustizia tributaria il
presidente di questa, di ufficio o su istanza di
parte o su segnalazione dei presidenti delle
sezioni, determina con decreto la sezione
davanti alla quale i processi devono proseguire,
riservando a tale sezione di provvedere ai sensi
del comma 1 dell'art. 29 del d.lgs. del 31
dicembre 1992 n. 546.","Se i processi pendono dinanzi a sezioni diverse
della stessa Corte di giustizia tributaria il
presidente di questa, purché su istanza di parte,
determina con ordinanza*a sezione davanti alla
quale i processi devono proseguire, riservando a
tale sezione di provvedere ai sensi del comma 1
dell'art. 29 del d.lgs. del 31 dicembre 1992 n.
546.","Se i processi pendono dinanzi a sezioni diverse
della stessa Corte di giustizia tributaria il
presidente di questa, purché d'ufficio,
determina con decreto la sezione davanti alla
quale i processi devono proseguire, riservando
a tale sezione di provvedere ai sensi del comma
1 dell'art. 29 del d.lgs. del 31 dicembre 1992 n.
546.","Se i processi pendono dinanzi a sezioni diverse
della stessa Corte di giustizia tributaria il
presidente di questa, purché su segnalazione dei
presidenti delle sezioni, determina con decreto
la sezione davanti alla quale i processi devono
proseguire, riservando a tale sezione di
provvedere ai sensi del comma 1 dell'art. 29 del
d.lgs. del 31 dicembre 1992 n. 546."
746,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 disciplina i profili relativi alla
costituzione in giudizio del ricorrente nel
processo tributario?","L'art. 22 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 25 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 34 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 41 del d.lgs. del 31 dicembre 1992 n. 546.
747,Selezionare l'affermazione corretta:,"I mezzi per impugnare le sentenze delle Corti
di giustizia tributaria di secondo grado sono
l'appello, il ricorso per cassazione e la
revocazione.","I mezzi per impugnare le sentenze delle Corti di
giustizia tributaria di secondo grado sono il
ricorso per cassazione e la revocazione.","I mezzi per impugnare le sentenze delle Corti di
giustizia tributaria di secondo grado sono
l'appello, il ricorso per cassazione, la
revocazione ed il ricorso per l'ottemperanza.","I mezzi per impugnare le sentenze delle Corti di
giustizia tributaria di secondo grado sono
l'appello, il ricorso per cassazione, la
revocazione, il ricorso per l'ottemperanza ed il
ricorso in autotutela."
748,Selezionare l'affermazione corretta:,"Il ricorso per revocazione è proposto e
depositato a norma dell'art. 53, comma 2, del
d.lgs. del 31 dicembre 1992 n. 546.","Il ricorso per revocazione è proposto a norma
dell'art. 53, comma 2, del d.lgs. del 31
dicembre 1992 n. 546 e depositato a norma
dell'art. 52, comma 3, del d.lgs. del 31
dicembre 1992 n. 546.","Il ricorso per revocazione è proposto e
depositato a norma dell'art. 52, comma 3, del
d.lgs. del 31 dicembre 1992 n. 546.","Il ricorso per revocazione è proposto e
depositato a norma dell'art. 54, comma 1, del
d.lgs. del 31 dicembre 1992 n. 546."
749,Le copie autentiche della sentenza:,"Possono essere richieste da ciascuna parte.
Così dispone l'art. 38 del d.lgs. del 31
dicembre 1992 n. 546.","Possono essere richieste da ciascuna parte. Così
dispone l'art. 37 del d.lgs. del 31 dicembre 1992
n. 546.","Possono essere richieste da ciascuna parte. Così
dispone l'art. 41 del d.lgs. del 31 dicembre
1992 n. 546.","Possono essere richieste da ciascuna parte. Così
dispone l'art. 36 del d.lgs. del 31 dicembre 1992
n. 546."
750,"La procura speciale, se conferita al coniuge
e ai parenti o affini entro il quarto grado ai
soli fini della partecipazione all'udienza
pubblica:","Può risultare anche da scrittura privata non
autenticata.","Non può risultare da scrittura privata non
autenticata.","Deve in ogni caso risultare da scrittura privata
autenticata.","Deve risultare in ogni caso da scrittura privata
autenticata."
751,Nel giudizio d'appello:,"Possono essere chiesti gli interessi maturati
dopo la sentenza impugnata. Così prevede l'art.
57 del d.lgs. del 31 dicembre 1992 n. 546.","Possono essere chiesti gli interessi maturati
dopo la sentenza impugnata. Così prevede l'art.
53 del d.lgs. del 31 dicembre 1992 n. 546.","Possono essere chiesti gli interessi maturati
dopo la sentenza impugnata. Così prevede l'art.
59 del d.lgs. del 31 dicembre 1992 n. 546.","Possono essere chiesti gli interessi maturati
dopo la sentenza impugnata. Così prevede l'art.
52 del d.lgs. del 31 dicembre 1992 n. 546."
752,"L'udienza di trattazione dell'istanza di
sospensione non può, in ogni caso,
coincidere con l'udienza di trattazione del
merito della controversia:","Così dispone l'art. 47 del d.lgs. del 31
dicembre 1992 n. 546.","Così dispone l'art. 2 del d.lgs. del 31 dicembre
1992 n. 545.","Così dispone l'art. 13 del d.lgs. del 31 dicembre
1992 n. 545.","Così dispone l'art. 17 del d.lgs. del 31 dicembre
1992 n. 545."
753,"Alle impugnazioni delle sentenze delle Corti
di giustizia tributaria di primo e secondo
grado si applicano:","Le disposizioni del titolo III, capo I, del libro II
del codice di procedura civile, e fatto salvo
quanto disposto nel d.lgs. del 31 dicembre
1992 n. 546.","Le disposizioni del titolo II, capo I, del libro II
del codice di procedura civile, e fatto salvo
quanto disposto nel d.lgs. del 31 dicembre 1992
n. 546.","Le disposizioni del titolo III, capo II, del libro II
del codice di procedura civile, e fatto salvo
quanto disposto nel d.lgs. del 31 dicembre 1992
n. 546.","Le disposizioni del titolo I, capo II, del libro II
del codice di procedura civile, e fatto salvo
quanto disposto nel d.lgs. del 31 dicembre 1992
n. 546."
754,"Ai sensi dell'art. 2 del d.lgs. del 31 dicembre
1992 n. 546 del 1992:","Appartengono alla giurisdizione tributaria tutte
le controversie aventi ad oggetto le
sovrimposte e le addizionali, le relative
sanzioni nonché gli interessi e ogni altro
accessorio.","Appartengono alla giurisdizione tributaria tutte
le controversie aventi ad oggetto le sovrimposte
e le addizionali, le relative sanzioni e gli
interessi. Gli eventuali accessori rientrano nella
giurisdizione del giudice civile.","Appartengono alla giurisdizione amministrativa
tutte le controversie aventi ad oggetto le
sovrimposte e le addizionali. Le relative
sanzioni nonché gli interessi e ogni altro
accessorio rientrano nella giurisdizione del
giudice civile.","Appartengono alla giurisdizione tributaria tutte
le controversie aventi ad oggetto le sovrimposte
e le addizionali, le relative sanzioni nonché gli
interessi e ogni altro accessorio appartengono
alla giurisdizione amministrativa."
755,"L'art. 37 del d.lgs. del 31 dicembre 1992 n.
546:","Individua le modalità di pubblicazione e
comunicazione della sentenza emanata dal
giudice tributario.","Individua gli effetti della conciliazione
giudiziale, quando proposta dal giudice in
udienza.","Individua gli effetti della conciliazione
giudiziale, quando proposta dalle parti fuori
udienza.","Individua gli effetti derivanti dall'interruzione
temporanea del processo tributario."
756,Selezionare l'affermazione corretta:,"Nel caso di rinuncia al ricorso, il processo
tributario si estingue.","Nel caso di rinuncia al ricorso, il processo
tributario si interrompe.","Nel caso di rinuncia al ricorso, il processo
tributario si sospende.","Nel caso di rinuncia al ricorso, il processo
tributario si interrompe; tuttavia, se tutte le parti
concordano, il processo può riprendere con la
presentazione dell'istanza di nuova trattazione."
757,"L'art. 22 del d.lgs. del 31 dicembre 1992 n.
546:","Disciplina i profili relativi alla costituzione in
giudizio del ricorrente nel processo tributario.","Definisce le modalità di assistenza tecnica nel
processo tributario.","Definisce le modalità di iscrizione del ricorso
nel registro generale.","Definisce le modalità di composizione del
fascicolo d'ufficio del processo."
758,Seleziona l'affermazione corretta:,"Il giudice tributario ha l'obbligo di astenersi e
può essere ricusato anche nel caso di cui all'art.
13, comma 3 del d.lgs. del 31 dicembre 1992
n. 546.","Il giudice tributario ha l'obbligo di astenersi e
può essere ricusato anche nel caso di cui all'art.
12, comma 3 del d.lgs. del 31 dicembre 1992 n.
546.","Il giudice tributario ha l'obbligo di astenersi e
può essere ricusato anche nel caso di cui all'art.
13, comma 3 del d.lgs. del 31 dicembre 1992 n.
545.","Il giudice tributario ha l'obbligo di astenersi e
può essere ricusato anche nel caso di cui all'art.
12, comma 3 del d.lgs. del 31 dicembre 1992 n.
545."
759,"Ai sensi dell'art. 33 del d.lgs. del 31
dicembre 1992 n. 546:","Nel caso in cui una parte chieda di discutere in
presenza, i giudici ed il personale
amministrativo partecipano sempre in presenza
alla discussione.","Nel caso in cui una parte chieda di discutere in
presenza, i giudici ed il personale
amministrativo possono partecipare in presenza
o da remoto alla discussione.","Nel caso in cui una parte chieda di discutere in
presenza ed un'altra chieda di discutere da
remoto, i giudici ed il personale amministrativo
partecipano alla discussione, alternativamente,
da remoto o in presenza.","Nel caso in cui una parte chieda di discutere in
presenza, il Presidente del collegio partecipa
sempre in presenza alla discussione; gli altri
componenti del collegio ed il personale
amministrativo possono partecipare da remoto."
760,"Ai sensi dell'art. 33 del d.lgs. del 31
dicembre 1992 n. 546:","Il relatore espone al collegio, senza la presenza
delle parti, i fatti e le questioni della
controversia.","Il relatore espone al collegio, alla presenza delle
parti, i fatti e le questioni della controversia.","Il relatore espone al collegio, alla presenza delle
parti e dei loro difensori, i fatti e le questioni
della controversia.","Il relatore espone al collegio, alla presenza delle
parti, dei loro difensori e del presidente della
sezione della Corte di giustizia tributaria, i fatti
e le questioni della controversia."
761,"Ai sensi dell'art. 24 del d.lgs. del 31
dicembre 1992 n. 546:","L'integrazione dei motivi di ricorso, resa
necessaria dal deposito di documenti non
conosciuti ad opera delle altre parti o per
ordine della Corte di giustizia tributaria, è
ammessa entro il termine perentorio di
sessanta giorni dalla data in cui l'interessato ha
notizia di tale deposito.","L'integrazione dei motivi di ricorso, resa
necessaria dal deposito di documenti non
conosciuti ad opera delle altre parti o per ordine
della Corte di giustizia tributaria, è ammessa
entro il termine perentorio di trenta giorni dalla
data in cui l'interessato ha ricevuto copia del
ricorso a prescindere dal momento in cui
l'interessato abbia avuto notizia di tale deposito.","L'integrazione dei motivi di ricorso, resa
necessaria dal deposito di documenti non
conosciuti ad opera delle altre parti o per ordine
della Corte di giustizia tributaria, è ammessa
entro il termine ordinatorio di sessanta giorni
dalla data in cui l'interessato ha notizia di tale
deposito.","L'integrazione dei motivi di ricorso, resa
necessaria dal deposito di documenti non
conosciuti ad opera delle altre parti o per ordine
della Corte di giustizia tributaria, è ammessa
entro il termine ordinatorio di trenta giorni dalla
data in cui l'interessato cui l'interessato ha
ricevuto copia del ricorso a prescindere dal
momento in cui l'interessato abbia avuto notizia
di tale deposito."
